63
0,Budrus,37.0,206.0
1,Qibya,86.0,165.0
2,Shuqba,152.0,131.0
3,Nili,174.0,219.0
4,Aboud,229.0,39.0
5,Dayr Abu Mash'al,230.0,102.0
6,Na'ale,218.0,220.0
7,Nabi Saleh,368.0,40.0
8,Halamish,389.0,68.0
9,Deir Nidham,344.0,86.0
10,Baytillu,343.0,172.0
11,Deir 'Ammar,305.0,209.0
12,Nahliel,395.0,184.0
13,Mazra'a al-Qibliya,433.0,264.0
14,Talmon,381.0,294.0
15,Dolev,387.0,337.0
16,Ein Qiniya,435.0,332.0
17,Ein Arik,417.0,402.0
18,Beitunia,483.0,459.0
19,Ras Karkar,304.0,287.0
20,Kafr Ni'ma,302.0,343.0
21,Bil'in,232.0,333.0
22,Modi'in Ilit,108.0,446.0
23,Shilat,91.0,355.0
24,Lapid,136.0,372.0
25,Modi'in Makabim-Re'ut,107.0,445.0
26,Bayt Sira,164.0,444.0
27,Kharabtha al-Misbah,227.0,450.0
28,Bayt Liqya,222.0,506.0
29,Beit Ur al-Tahta,287.0,427.0
30,Beit Horon,366.0,490.0
31,Tira,384.0,516.0
32,Kafr 'Aqab,607.0,495.0
33,Kokhav Ya'akov,666.0,462.0
34,Psagot,625.0,406.0
35,Ramallah,575.0,391.0
36,Al-Bireh,601.0,363.0
37,Baytin,649.0,337.0
38,Beit El,614.0,287.0
39,Surda,559.0,290.0
40,Jalazone,592.0,253.0
41,Kaubar,452.0,131.0
42,Abu Shukhaydam,487.0,213.0
43,Ein Sinya,630.0,188.0
44,Birzeit,552.0,181.0
45,Atara,571.0,86.0
46,Ateret,498.0,90.0
47,Umm Safa,468.0,64.0
48,Ajul,498.0,18.0
49,Khirbat Abu Falah,811.0,21.0
50,Al-Mazra'a ash-Sharqiya,769.0,95.0
51,Kafr Malik,838.0,128.0
52,Silwad,717.0,165.0
53,Dayr Jarir,787.0,189.0
54,Ofra,700.0,235.0
55,Taibe,810.0,233.0
56,Ramun,813.0,314.0
57,Dayr Dibwan,701.0,369.0
58,Ma'ale Michmash,845.0,466.0
59,Mukhmas,720.0,504.0
60,Rimonim,882.0,293.0
61,Kohav HaShahar,906.0,213.0
62,Mughayir,927.0,34.0

46,47
46,8
46,44
46,46
44,42
44,46
44,41
44,40
44,39
44,45
44,43
44,44
8,7
8,9
8,47
8,46
8,8
47,7
47,8
47,46
47,48
47,47
48,47
48,48
45,44
45,45
43,40
43,44
43,52
43,43
40,43
40,39
40,38
40,40
39,36
39,38
39,16
39,40
39,35
39,44
39,39
36,38
36,35
36,39
36,57
36,36
38,39
38,40
38,36
38,37
38,54
38,38
37,38
37,54
37,57
37,34
37,37
35,36
35,18
35,39
35,32
35,35
34,37
34,33
34,34
32,35
32,32
33,59
33,34
33,33
59,33
59,58
59,57
59,59
58,59
58,57
58,60
58,58
60,58
60,55
60,56
60,61
60,60
57,59
57,37
57,58
57,56
57,57
56,60
56,55
56,57
56,56
61,60
61,62
61,51
61,61
55,56
55,60
55,53
55,55
62,61
62,49
62,62
53,55
53,52
53,51
53,53
51,61
51,49
51,53
51,51
49,62
49,51
49,50
49,49
50,49
50,52
50,50
52,53
52,50
52,43
52,54
52,52
54,38
54,52
54,37
54,54
15,20
15,14
15,16
15,17
15,15
14,15
14,19
14,13
14,16
14,14
11,19
11,10
11,6
11,12
11,11
6,3
6,21
6,11
6,10
6,6
10,12
10,11
10,9
10,6
10,10
16,13
16,14
16,15
16,17
16,39
16,16
17,15
17,16
17,18
17,30
17,17
13,16
13,14
13,12
13,42
13,13
12,10
12,11
12,13
12,41
12,42
12,12
18,35
18,17
18,30
18,31
18,18
30,29
30,31
30,17
30,18
30,30
31,18
31,30
31,28
31,31
42,12
42,44
42,41
42,13
42,42
41,46
41,44
41,42
41,41
24,21
24,22
24,23
24,25
24,26
24,24
21,22
21,24
21,19
21,20
21,29
21,26
21,6
21,21
25,23
25,24
25,26
25,25
19,21
19,20
19,14
19,11
19,19
20,21
20,29
20,19
20,15
20,20
29,20
29,30
29,21
29,29
26,25
26,24
26,21
26,27
26,28
26,26
28,26
28,27
28,29
28,30
28,28
27,28
27,26
27,29
27,30
27,27
4,5
4,2
4,7
4,9
4,4
5,4
5,2
5,9
5,5
2,5
2,1
2,4
2,3
2,6
2,2
9,5
9,7
9,8
9,4
9,10
9,9
1,2
1,0
1,3
1,1
0,1
0,3
0,23
0,0
7,8
7,9
7,4
7,47
7,7
3,1
3,0
3,2
3,6
3,22
3,3
23,0
23,22
23,24
23,25
23,23
22,3
22,23
22,24
22,21
22,22
